experiment,dataset,K,category,method,variance,risk,return,number_of_selected_assets,selected_indices,selected_tickers,selected_assets,solve_time,mip_gap,status,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
OR-Library,port5,5,Genetic Algorithm,genetic_algorithm,0.0003355735008198,0.0183186653667742,-0.0005873967559407,5,"[41, 59, 97, 128, 224]",,,2.894061875063926,,2.0,225.0,225.0,False,none
OR-Library,port5,5,Gurobi Cardinality,cardinality,0.0003173597700228,0.0178145942985744,8.176027905076564e-05,5,"[59, 61, 97, 128, 224]",,,0.1098439693450927,0.0,2.0,225.0,225.0,False,none
OR-Library,port5,5,No-Sparsity Baseline,no_sparsity,0.0003046427911994,0.0174540193422459,7.119611597182535e-05,17,"[10, 39, 41, 42, 59, 61, 78, 84, 96, 97, 104, 113, 128, 170, 198, 214, 224]",,,0.0647399425506591,,,225.0,225.0,False,none
OR-Library,port5,5,Simulated Annealing,simulated_annealing,0.0004507295626504,0.0212303924280842,-0.0005435400828883,5,"[59, 128, 147, 208, 217]",,,0.573023583041504,,2.0,225.0,225.0,False,none
OR-Library,port5,10,Best Sparse,cardinality,0.0003048001776203,0.0174585273611595,8.211429346343553e-05,10,"[10, 39, 59, 61, 96, 97, 104, 128, 170, 224]",,,0.1010117530822753,0.0,2.0,225.0,225.0,False,none
OR-Library,port5,10,Genetic Algorithm,genetic_algorithm,0.0003288197555051,0.0181333878661743,-0.0001887701481995,10,"[10, 23, 39, 59, 97, 104, 108, 125, 128, 198]",,,4.974021499976516,,2.0,225.0,225.0,False,none
OR-Library,port5,10,Gurobi Cardinality,cardinality,0.0003048001776203,0.0174585273611595,8.211429346343553e-05,10,"[10, 39, 59, 61, 96, 97, 104, 128, 170, 224]",,,0.1010117530822753,0.0,2.0,225.0,225.0,False,none
OR-Library,port5,10,No-Sparsity Baseline,no_sparsity,0.0003046427911994,0.0174540193422459,7.119611597182535e-05,17,"[10, 39, 41, 42, 59, 61, 78, 84, 96, 97, 104, 113, 128, 170, 198, 214, 224]",,,0.0412769317626953,,,225.0,225.0,False,none
OR-Library,port5,10,Simulated Annealing,simulated_annealing,0.0003721748877067,0.0192918347418486,-0.0004852203278873,10,"[28, 59, 74, 94, 97, 128, 139, 156, 175, 190]",,,1.0082508750492707,,2.0,225.0,225.0,False,none
OR-Library,port5,20,Best Sparse,cardinality,0.0003046407420797,0.0174539606416337,7.080196150268669e-05,11,"[10, 39, 59, 61, 84, 96, 97, 104, 128, 170, 224]",,,0.017165184020996,0.0,2.0,225.0,225.0,False,none
