dataset,K,method,best_variance,average_variance,std_variance,best_risk,average_risk,average_solve_time,best_return,number_of_selected_assets,best_selected_indices,mip_gap,status,elapsed_total_time,remaining_time_when_started,stopped_due_to_time_budget,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
port3,20,cardinality,0.00019969713899374396,0.00019969713899374396,0.0,0.014131423813393468,0.014131423813393468,0.1696779727935791,0.0026614269662921346,20,"[1, 19, 23, 24, 29, 32, 40, 45, 52, 55, 58, 61, 65, 66, 70, 72, 74, 81, 82, 84]",0.0,2.0,187.71253741602413,412.28746258397587,False,89,89,False,none
port3,20,genetic_algorithm,0.00020293742512793593,0.00020394871209994544,1.1863916059240354e-06,0.014245610732009209,0.014281001016830976,13.220597694356305,0.002661441539208244,20,"[1, 2, 8, 11, 13, 19, 24, 29, 32, 35, 40, 45, 52, 55, 60, 61, 65, 72, 74, 82]",,2.0,187.97789241594728,412.0221075840527,False,89,89,False,none
port3,20,simulated_annealing,0.00022293840264374205,0.00022598879740942714,2.490469967964851e-06,0.014931121948592545,0.015032695553842327,2.709393805319754,0.0029576406109445424,20,"[1, 3, 8, 12, 13, 20, 40, 43, 45, 49, 52, 59, 61, 64, 70, 72, 73, 74, 76, 80]",,2.0,227.65242900000885,372.34757099999115,False,89,89,False,none
port4,5,no_sparsity,0.00013177245427405544,0.00013177245427405544,0.0,0.011479218365117698,0.011479218365117698,0.007275104522705078,0.002873132657250353,39,"[1, 3, 4, 7, 9, 10, 11, 15, 17, 18, 22, 27, 32, 33, 35, 36, 37, 40, 41, 43, 44, 46, 50, 51, 52, 53, 61, 63, 64, 65, 71, 72, 82, 85, 87, 88, 91, 92, 95]",,,235.7919431249611,364.2080568750389,False,98,98,False,none
port4,5,cardinality,0.00018906855575867327,0.00018906855575867327,0.0,0.013750220207642976,0.013750220207642976,60.007391929626465,0.0028731326530612245,5,"[18, 44, 61, 63, 85]",0.048034776976988706,9.0,235.90395929093938,364.0960407090606,False,98,98,False,none
port4,5,genetic_algorithm,0.00019412156296520425,0.00020132729085232918,5.696886538981319e-06,0.013932751449918434,0.014187561628832024,2.8382040000287816,0.0028731327236438454,5,"[10, 18, 44, 61, 95]",,2.0,296.17676133301575,303.82323866698425,False,98,98,False,none
port4,5,simulated_annealing,0.00024339540763843964,0.00024950235327066654,4.689711665688193e-06,0.015601134818930308,0.01579494412902982,0.6181819166910524,0.002875362224113718,5,"[8, 44, 64, 81, 95]",,2.0,304.70214908302296,295.29785091697704,False,98,98,False,none
port4,10,no_sparsity,0.00013177245427405544,0.00013177245427405544,0.0,0.011479218365117698,0.011479218365117698,0.008213996887207031,0.002873132657250353,39,"[1, 3, 4, 7, 9, 10, 11, 15, 17, 18, 22, 27, 32, 33, 35, 36, 37, 40, 41, 43, 44, 46, 50, 51, 52, 53, 61, 63, 64, 65, 71, 72, 82, 85, 87, 88, 91, 92, 95]",,,306.56374274997506,293.43625725002494,False,98,98,False,none
port4,10,cardinality,0.00014698115437227798,0.00014698115437227798,0.0,0.01212357844748315,0.01212357844748315,26.669458150863647,0.0028731326530612245,10,"[10, 35, 41, 44, 61, 63, 64, 72, 85, 95]",0.0,2.0,306.6741046659881,293.3258953340119,False,98,98,False,none
port4,10,genetic_algorithm,0.00015856972676297573,0.000159241109786961,7.187707463271634e-07,0.012592447211045823,0.012619045121150784,4.998362194358681,0.0028731336216411916,10,"[4, 7, 10, 33, 35, 36, 43, 50, 61, 63]",,2.0,333.4581920829369,266.5418079170631,False,98,98,False,none
port4,10,simulated_annealing,0.00018784442970587293,0.00019526511171479973,7.270987649622187e-06,0.013705634961791188,0.013971326973135932,0.9840569719672203,0.002873133077401214,10,"[10, 13, 22, 24, 44, 64, 67, 79, 87, 95]",,2.0,348.46161795803346,251.53838204196654,False,98,98,False,none
port4,20,no_sparsity,0.00013177245427405544,0.00013177245427405544,0.0,0.011479218365117698,0.011479218365117698,0.008109807968139648,0.002873132657250353,39,"[1, 3, 4, 7, 9, 10, 11, 15, 17, 18, 22, 27, 32, 33, 35, 36, 37, 40, 41, 43, 44, 46, 50, 51, 52, 53, 61, 63, 64, 65, 71, 72, 82, 85, 87, 88, 91, 92, 95]",,,351.4204440830508,248.57955591694918,False,98,98,False,none
